Area_Name,class
Chesa FL,Forest Land
Bulawayo South ICA,Intensive Conservation Area
Dande SA,Safari Area
Dande South CL,Communal Land
Limpopo ICA,Intensive Conservation Area
Beitbridge ICA,Intensive Conservation Area
Epiphany SSCFA,Small-Scale Commercial Farm Area
Kwenda SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Mount Sibale SSCFA,Small-Scale Commercial Farm Area
Vumba BRG,
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Gutsa CL,Communal Land
SL,State Land
Centenary East ICA,Intensive Conservation Area
Kuruyana SSCFA,Small-Scale Commercial Farm Area
Doma SA,Safari Area
Karoi South ICA,Intensive Conservation Area
Mukwichi CL,Communal Land
Karoi Central ICA,Intensive Conservation Area
Chiweshe CL,Communal Land
Mount Darwin ICA,Intensive Conservation Area
Madziwa CL,Communal Land
Umfurudzi Parks SA,Safari Area
Maramba CL,Communal Land
Barwick ICA,Intensive Conservation Area
Mupfure CL,Communal Land
Piriwiri CL,Communal Land
Murodzi Tatagura ICA,Intensive Conservation Area
Angwa South ICA,Intensive Conservation Area
Trelawney ICA,Intensive Conservation Area
Chitowa SSCFA,Small-Scale Commercial Farm Area
Mangwende CL,Communal Land
Chitomborwizi SSCFA,Small-Scale Commercial Farm Area
Zwimba CL,Communal Land
Harare West,
Harare (Rural),
Copper Queen SSCFA,Small-Scale Commercial Farm Area
Sanyati CL,Communal Land
Suri Suri ICA,Intensive Conservation Area
Gadzema ICA,Intensive Conservation Area
Marandera North ICA,Intensive Conservation Area
Virginia ICA,Intensive Conservation Area
Weya CL,Communal Land
Suri Suri ICA,Intensive Conservation Area
Harare South ICA,Intensive Conservation Area
Marirangwe SSCFA,Small-Scale Commercial Farm Area
Busi CL,Communal Land
Kana CL,Communal Land
Dandanda CL,Communal Land
Mafungabusi FL,Forest Land
Chemagora SSCFA,Small-Scale Commercial Farm Area
Headlands ICA,Intensive Conservation Area
Dowa SSCFA,Small-Scale Commercial Farm Area
Chiduku CL,Communal Land
Rusape ICA,Intensive Conservation Area
Mbobo SSCFA,Small-Scale Commercial Farm Area
Makoni CL,Communal Land
Zowa SSCFA,Small-Scale Commercial Farm Area
Tsungwesi ICA,Intensive Conservation Area
Sikumi FL,Forest Land
DETE,
Railway Farm 41 SL,State Land
Hwange Cntl Hunting,
Railway Farm 39 SL,State Land
Mutasa South CL,Communal Land
Tsonzo SSCFA,Small-Scale Commercial Farm Area
Dope ICA,Intensive Conservation Area
Railway Farm 35 SL,State Land
Mbowo ICA,Intensive Conservation Area
Wiltshire Central IC,
Zhombe CL,Communal Land
Silobela SSCFA,Small-Scale Commercial Farm Area
Nkayi CL,Communal Land
Silobela CL,Communal Land
Hampshire ICA,Intensive Conservation Area
Chivu ICA,Intensive Conservation Area
Manyeni CL,Communal Land
Mtoro ICA,Intensive Conservation Area
Gamanya ICA,Intensive Conservation Area
Maronda SSCFA,Small-Scale Commercial Farm Area
Umniate-Sebakwe ICA,Intensive Conservation Area
Bembezaan ICA,Intensive Conservation Area
Tokwe ICA,Intensive Conservation Area
Lake Alice FL,Forest Land
Gwampa FL,Forest Land
Manyame CL,Communal Land
Lancashire SSCFA,Small-Scale Commercial Farm Area
Chatsworth ICA,Intensive Conservation Area
Chiwundura CL,Communal Land
